2025.02.06 04:45:00   CLOSE_BASKET | SHORT | p=0.89859 | lot=0.61 | reason=tp_10.0_pips net_pips=7.6
2025.02.06 05:00:00   PROBE_OPEN | LONG | p=0.89900 | lot=0.01 | gate_l=1 gate_s=0
2025.02.07 04:15:00   CLOSE_BASKET | LONG | p=0.90009 | lot=0.01 | reason=tp_10.0_pips net_pips=10.9
2025.02.07 04:30:00   PROBE_OPEN | SHORT | p=0.89997 | lot=0.01 | gate_l=0 gate_s=1
2025.02.07 15:30:00   CLOSE_BASKET | SHORT | p=0.89937 | lot=0.01 | reason=tp_10.0_pips net_pips=6.0
2025.02.10 00:45:00   PROBE_OPEN | SHORT | p=0.89715 | lot=0.01 | gate_l=0 gate_s=1
2025.02.10 07:30:00   ADD | SHORT | p=0.89957 | lot=0.24 | 
2025.02.10 21:00:00   CLOSE_BASKET | SHORT | p=0.89863 | lot=0.25 | reason=tp_10.0_pips net_pips=8.4
2025.02.11 04:45:00   PROBE_OPEN | LONG | p=0.89824 | lot=0.01 | gate_l=1 gate_s=0
2025.02.11 08:00:00   CLOSE_BASKET | LONG | p=0.89932 | lot=0.01 | reason=tp_10.0_pips net_pips=10.8
2025.02.11 12:00:00   PROBE_OPEN | LONG | p=0.89980 | lot=0.01 | gate_l=1 gate_s=0
2025.02.12 13:45:00   ADD | LONG | p=0.89761 | lot=0.24 | 
2025.02.12 15:45:00   ADD | LONG | p=0.89536 | lot=0.36 | 
2025.02.12 19:00:00   CLOSE_BASKET | LONG | p=0.89774 | lot=0.61 | reason=tp_10.0_pips net_pips=14.2
2025.02.12 23:00:00   PROBE_OPEN | LONG | p=0.89777 | lot=0.01 | gate_l=1 gate_s=0
2025.02.13 11:30:00   ADD | LONG | p=0.89579 | lot=0.24 | 
2025.02.13 15:30:00   ADD | LONG | p=0.89374 | lot=0.36 | 
2025.02.13 21:15:00   CLOSE_BASKET | LONG | p=0.89625 | lot=0.61 | reason=tp_10.0_pips net_pips=16.4
2025.02.13 21:30:00   PROBE_OPEN | SHORT | p=0.89693 | lot=0.01 | gate_l=0 gate_s=1
2025.02.14 14:45:00   ADD | SHORT | p=0.89915 | lot=0.24 | 
2025.02.17 03:30:00   ADD | SHORT | p=0.90166 | lot=0.36 | 
2025.02.20 06:00:00   ADD | SHORT | p=0.90411 | lot=0.48 | 
2025.02.20 10:15:00   ADD | SHORT | p=0.90639 | lot=0.60 | 
2025.02.25 13:00:00   CLOSE_BASKET | SHORT | p=0.90273 | lot=1.69 | reason=tp_10.0_pips net_pips=9.2
2025.02.25 13:15:00   PROBE_OPEN | LONG | p=0.90298 | lot=0.01 | gate_l=1 gate_s=0
2025.02.25 14:15:00   CLOSE_BASKET | LONG | p=0.90398 | lot=0.01 | reason=tp_10.0_pips net_pips=10.0
2025.02.25 17:15:00   PROBE_OPEN | LONG | p=0.90374 | lot=0.01 | gate_l=1 gate_s=0
2025.02.25 18:00:00   CLOSE_BASKET | LONG | p=0.90511 | lot=0.01 | reason=tp_10.0_pips net_pips=13.7
2025.02.26 03:00:00   PROBE_OPEN | LONG | p=0.90740 | lot=0.01 | gate_l=1 gate_s=0
2025.02.26 13:30:00   ADD | LONG | p=0.90549 | lot=0.24 | 
2025.02.26 18:15:00   CLOSE_BASKET | LONG | p=0.90665 | lot=0.25 | reason=tp_10.0_pips net_pips=10.8
2025.02.26 20:00:00   PROBE_OPEN | LONG | p=0.90442 | lot=0.01 | gate_l=1 gate_s=0
2025.02.27 10:45:00   ADD | LONG | p=0.90245 | lot=0.24 | 
2025.02.27 14:45:00   CLOSE_BASKET | LONG | p=0.90371 | lot=0.25 | reason=tp_10.0_pips net_pips=11.8
2025.02.27 16:45:00   PROBE_OPEN | LONG | p=0.90276 | lot=0.01 | gate_l=1 gate_s=0
2025.02.27 23:00:00   ADD | LONG | p=0.90082 | lot=0.24 | 
2025.02.28 04:00:00   ADD | LONG | p=0.89875 | lot=0.36 | 
2025.02.28 15:30:00   ADD | LONG | p=0.89615 | lot=0.48 | 
2025.03.03 16:30:00   CLOSE_BASKET | LONG | p=0.89941 | lot=1.09 | reason=tp_10.0_pips net_pips=13.1
2025.03.03 16:45:00   PROBE_OPEN | SHORT | p=0.89928 | lot=0.01 | gate_l=0 gate_s=1
2025.03.03 22:00:00   ADD | SHORT | p=0.90200 | lot=0.24 | 
2025.03.04 00:15:00   CLOSE_BASKET | SHORT | p=0.90220 | lot=0.25 | reason=tp_10.0_pips net_pips=-3.1
2025.03.04 02:00:00   PROBE_OPEN | LONG | p=0.90106 | lot=0.01 | gate_l=1 gate_s=0
2025.03.04 06:15:00   ADD | LONG | p=0.89884 | lot=0.24 | 
2025.03.04 10:45:00   ADD | LONG | p=0.89691 | lot=0.36 | 
2025.03.04 14:15:00   CLOSE_BASKET | LONG | p=0.89918 | lot=0.61 | reason=tp_10.0_pips net_pips=14.4
2025.03.04 17:00:00   PROBE_OPEN | LONG | p=0.89904 | lot=0.01 | gate_l=1 gate_s=0
2025.03.04 18:45:00   CLOSE_BASKET | LONG | p=0.90049 | lot=0.01 | reason=tp_10.0_pips net_pips=14.5
2025.03.04 23:15:00   PROBE_OPEN | LONG | p=0.90306 | lot=0.01 | gate_l=1 gate_s=0
2025.03.05 05:00:00   ADD | LONG | p=0.90098 | lot=0.24 | 
2025.03.05 08:15:00   CLOSE_BASKET | LONG | p=0.90237 | lot=0.25 | reason=tp_10.0_pips net_pips=13.1
2025.03.05 13:30:00   PROBE_OPEN | LONG | p=0.90316 | lot=0.01 | gate_l=1 gate_s=0
2025.03.05 14:15:00   CLOSE_BASKET | LONG | p=0.90453 | lot=0.01 | reason=tp_10.0_pips net_pips=13.7
2025.03.06 00:30:30   PROBE_OPEN | LONG | p=0.90862 | lot=0.01 | gate_l=1 gate_s=0
2025.03.06 10:30:00   CLOSE_BASKET | LONG | p=0.90985 | lot=0.01 | reason=tp_10.0_pips net_pips=12.3
2025.03.06 11:30:00   PROBE_OPEN | LONG | p=0.90823 | lot=0.01 | gate_l=1 gate_s=0
2025.03.06 14:00:00   CLOSE_BASKET | LONG | p=0.90967 | lot=0.01 | reason=tp_10.0_pips net_pips=14.4
2025.03.06 17:00:00   PROBE_OPEN | LONG | p=0.90930 | lot=0.01 | gate_l=1 gate_s=0
