2026.01.29 19:15:00   CLOSE_BASKET | LONG | p=0.94860 | lot=1.25 | reason=tp_10.0_pips net_pips=14.6
2026.01.29 20:00:00   PROBE_OPEN | LONG | p=0.94859 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=19.14
2026.01.29 22:45:00   CLOSE_BASKET | LONG | p=0.94959 | lot=0.05 | reason=tp_10.0_pips net_pips=10.0
2026.01.29 23:00:00   PROBE_OPEN | SHORT | p=0.95013 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=19.14
2026.01.30 03:15:00   CLOSE_BASKET | SHORT | p=0.94855 | lot=0.05 | reason=tp_10.0_pips net_pips=15.8
2026.01.30 03:30:00   PROBE_OPEN | LONG | p=0.94940 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=19.13
2026.01.30 04:30:00   ADD | LONG | p=0.94565 | lot=1.20 | 
2026.01.30 05:00:00   CLOSE_BASKET | LONG | p=0.94694 | lot=1.25 | reason=tp_10.0_pips net_pips=11.4
2026.01.30 05:15:00   PROBE_OPEN | LONG | p=0.94702 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=19.11
2026.01.30 09:00:00   ADD | LONG | p=0.94481 | lot=1.20 | 
2026.01.30 10:15:00   CLOSE_BASKET | LONG | p=0.94595 | lot=1.25 | reason=tp_10.0_pips net_pips=10.5
2026.01.30 10:30:00   PROBE_OPEN | SHORT | p=0.94648 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=19.09
2026.01.30 12:00:00   CLOSE_BASKET | SHORT | p=0.94505 | lot=0.05 | reason=tp_10.0_pips net_pips=14.3
2026.01.30 12:15:00   PROBE_OPEN | SHORT | p=0.94657 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=19.09
2026.01.30 15:45:00   ADD | SHORT | p=0.94889 | lot=1.20 | 
2026.01.30 16:00:00   CLOSE_BASKET | SHORT | p=0.94713 | lot=1.25 | reason=tp_10.0_pips net_pips=16.7
2026.01.30 17:45:00   PROBE_OPEN | SHORT | p=0.94966 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=19.05
2026.01.30 18:00:00   CLOSE_BASKET | SHORT | p=0.94871 | lot=0.05 | reason=tp_10.0_pips net_pips=9.5
2026.01.30 18:15:00   PROBE_OPEN | SHORT | p=0.94846 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=19.05
2026.01.30 19:15:00   CLOSE_BASKET | SHORT | p=0.94687 | lot=0.05 | reason=tp_10.0_pips net_pips=15.9
2026.01.30 19:30:00   PROBE_OPEN | LONG | p=0.94790 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=19.05
2026.01.30 20:30:00   ADD | LONG | p=0.94550 | lot=1.20 | 
2026.01.30 21:00:00   CLOSE_BASKET | LONG | p=0.94731 | lot=1.25 | reason=tp_10.0_pips net_pips=17.1
2026.01.30 21:45:00   PROBE_OPEN | SHORT | p=0.94768 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=19.02
2026.02.02 00:15:00   CLOSE_BASKET | SHORT | p=0.94784 | lot=0.05 | reason=tp_10.0_pips net_pips=-1.6
2026.02.02 00:30:00   PROBE_OPEN | LONG | p=0.94685 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=19.02
2026.02.02 01:00:00   ADD | LONG | p=0.94431 | lot=1.20 | 
2026.02.02 01:15:00   CLOSE_BASKET | LONG | p=0.94590 | lot=1.25 | reason=tp_10.0_pips net_pips=14.9
2026.02.02 01:45:00   PROBE_OPEN | SHORT | p=0.94720 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.99
2026.02.02 07:30:00   CLOSE_BASKET | SHORT | p=0.94608 | lot=0.05 | reason=tp_10.0_pips net_pips=11.2
2026.02.02 07:45:00   PROBE_OPEN | LONG | p=0.94620 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.99
