idx,open_dt,close_dt,dir,level,base,wavg,close_p,total_lots,net_pips,reason,lot_pips,usd
203,2026.04.10 16:45:00,2026.04.13 00:15:00,SHORT,1,0.05,0.97754,0.97240,0.05,51.4,tp_10.0_pips,2.570,22.54
204,2026.04.13 00:30:00,2026.04.13 03:00:00,LONG,1,0.05,0.97261,0.97362,0.05,10.1,tp_10.0_pips,0.505,4.43
205,2026.04.13 04:15:00,2026.04.13 15:00:00,SHORT,1,0.05,0.97518,0.97427,0.05,9.1,tp_10.0_pips,0.455,3.99
206,2026.04.13 15:15:00,2026.04.13 17:00:00,LONG,1,0.05,0.97427,0.97598,0.05,17.1,tp_10.0_pips,0.855,7.50
207,2026.04.13 17:15:00,2026.04.13 18:30:00,SHORT,1,0.05,0.97595,0.97512,0.05,8.3,tp_10.0_pips,0.415,3.64
208,2026.04.13 19:30:00,2026.04.14 03:45:00,SHORT,2,0.05,0.97827,0.97736,1.25,9.1,tp_10.0_pips,11.380,99.82
209,2026.04.14 04:00:00,2026.04.14 12:45:00,LONG,1,0.05,0.97756,0.97862,0.05,10.6,tp_10.0_pips,0.530,4.65
210,2026.04.14 13:00:00,2026.04.15 00:00:00,SHORT,2,0.05,0.98135,0.98139,1.25,-0.4,tp_10.0_pips,-0.490,-4.30
211,2026.04.15 00:15:00,2026.04.15 06:30:00,LONG,1,0.05,0.98126,0.98230,0.05,10.4,tp_10.0_pips,0.520,4.56
212,2026.04.15 06:45:00,2026.04.15 20:45:00,SHORT,2,0.05,0.98457,0.98383,1.25,7.4,tp_10.0_pips,9.310,81.66
213,2026.04.15 21:00:00,2026.04.16 11:15:00,SHORT,2,0.05,0.98629,0.98488,1.25,14.1,tp_10.0_pips,17.570,154.11
214,2026.04.16 11:30:00,2026.04.17 16:00:00,LONG,3,0.05,0.98124,0.98494,3.05,37.0,tp_10.0_pips,112.715,988.64
215,2026.04.17 16:15:00,2026.04.17 18:00:00,SHORT,1,0.05,0.98507,0.98431,0.05,7.6,tp_10.0_pips,0.380,3.33
216,2026.04.17 18:15:00,2026.04.17 20:15:00,SHORT,1,0.05,0.98298,0.98214,0.05,8.4,tp_10.0_pips,0.420,3.68
217,2026.04.17 20:30:00,2026.04.20 01:15:00,LONG,4,0.05,0.97593,0.97732,5.45,13.9,tp_10.0_pips,75.555,662.70
218,2026.04.20 04:15:00,2026.04.20 09:30:00,SHORT,1,0.05,0.97941,0.97870,0.05,7.1,tp_10.0_pips,0.355,3.11
219,2026.04.20 10:00:00,2026.04.20 11:00:00,SHORT,1,0.05,0.97993,0.97894,0.05,9.9,tp_10.0_pips,0.495,4.34
220,2026.04.20 13:15:00,2026.04.20 18:00:00,SHORT,1,0.05,0.97994,0.97871,0.05,12.3,tp_10.0_pips,0.615,5.39
221,2026.04.20 18:15:00,2026.04.21 14:00:00,LONG,2,0.05,0.97634,0.97761,1.25,12.7,tp_10.0_pips,15.895,139.42
222,2026.04.21 14:15:00,2026.04.21 20:15:00,SHORT,1,0.05,0.97738,0.97560,0.05,17.8,tp_10.0_pips,0.890,7.81
223,2026.04.21 20:30:00,2026.04.21 20:45:00,LONG,1,0.05,0.97592,0.97747,0.05,15.5,tp_10.0_pips,0.775,6.80
224,2026.04.21 22:15:00,2026.04.21 22:45:00,SHORT,1,0.05,0.97716,0.97541,0.05,17.5,tp_10.0_pips,0.875,7.67
225,2026.04.21 23:00:00,2026.04.21 23:15:00,LONG,1,0.05,0.97568,0.97719,0.05,15.1,tp_10.0_pips,0.755,6.62
226,2026.04.21 23:30:00,2026.04.22 00:30:00,SHORT,1,0.05,0.97746,0.97722,0.05,2.4,tp_10.0_pips,0.120,1.05
227,2026.04.22 01:15:00,2026.04.23 06:30:00,SHORT,1,0.05,0.97719,0.97652,0.05,6.7,tp_10.0_pips,0.335,2.94
228,2026.04.23 06:45:00,2026.04.23 09:00:00,LONG,1,0.05,0.97652,0.97765,0.05,11.3,tp_10.0_pips,0.565,4.96
229,2026.04.23 09:30:00,2026.04.23 13:15:00,SHORT,1,0.05,0.97740,0.97650,0.05,9.0,tp_10.0_pips,0.450,3.95
230,2026.04.23 13:30:00,2026.04.23 15:15:00,LONG,1,0.05,0.97635,0.97752,0.05,11.7,tp_10.0_pips,0.585,5.13
231,2026.04.23 15:30:00,2026.04.23 20:15:00,SHORT,2,0.05,0.97931,0.97789,1.25,14.2,tp_10.0_pips,17.710,155.34
232,2026.04.23 20:45:00,2026.04.23 21:00:00,LONG,1,0.05,0.97592,0.97777,0.05,18.5,tp_10.0_pips,0.925,8.11
233,2026.04.23 23:15:00,2026.04.24 14:30:00,LONG,1,0.05,0.97617,0.97858,0.05,24.1,tp_10.0_pips,1.205,10.57
234,2026.04.24 14:45:00,2026.04.24 16:00:00,SHORT,1,0.05,0.97725,0.97632,0.05,9.3,tp_10.0_pips,0.465,4.08
235,2026.04.24 16:30:00,2026.04.24 17:15:00,LONG,1,0.05,0.97630,0.97730,0.05,10.0,tp_10.0_pips,0.500,4.39
236,2026.04.24 18:45:00,2026.04.27 00:15:00,SHORT,1,0.05,0.97746,0.97656,0.05,9.0,tp_10.0_pips,0.450,3.95
237,2026.04.27 00:30:00,2026.04.27 03:45:00,LONG,1,0.05,0.97642,0.97755,0.05,11.3,tp_10.0_pips,0.565,4.96
238,2026.04.27 04:00:00,2026.04.29 05:00:00,SHORT,3,0.05,0.98227,0.98120,3.05,10.7,tp_10.0_pips,32.525,285.28
239,2026.04.29 05:15:00,2026.04.30 14:00:00,LONG,4,0.05,0.97588,0.97693,5.45,10.5,tp_10.0_pips,57.145,501.23
240,2026.04.30 14:15:00,2026.04.30 18:00:00,SHORT,2,0.05,0.97926,0.97851,1.25,7.5,tp_10.0_pips,9.375,82.23
241,2026.04.30 19:15:00,2026.05.01 17:15:00,LONG,1,0.06,0.97757,0.97983,0.06,22.6,tp_10.0_pips,1.356,11.89
242,2026.05.01 17:30:00,2026.05.01 21:15:00,SHORT,1,0.06,0.97994,0.97922,0.06,7.2,tp_10.0_pips,0.432,3.79
243,2026.05.01 21:30:00,2026.05.04 00:19:00,SHORT,1,0.06,0.97916,0.98135,0.06,-21.9,tp_10.0_pips,-1.314,-11.53
244,2026.05.04 00:30:00,2026.05.04 10:15:00,SHORT,1,0.06,0.97934,0.97833,0.06,10.1,tp_10.0_pips,0.606,5.32
245,2026.05.04 10:30:00,2026.05.05 01:45:00,LONG,3,0.06,0.97527,0.97630,3.66,10.3,tp_10.0_pips,37.806,331.60
246,2026.05.05 02:00:00,2026.05.05 04:15:00,SHORT,1,0.06,0.97631,0.97551,0.06,8.0,tp_10.0_pips,0.480,4.21
247,2026.05.05 04:30:00,2026.05.05 10:45:00,LONG,2,0.06,0.97280,0.97397,1.50,11.7,tp_10.0_pips,17.562,154.04
248,2026.05.05 11:15:00,2026.05.13 18:43:41,SHORT,8,0.06,0.98751,0.99594,25.26,-84.3,emergency_dd,-2129.784,-18680.61
249,2026.05.13 18:45:00,2026.05.13 22:45:00,SHORT,1,0.05,0.99533,0.99442,0.05,9.1,tp_10.0_pips,0.455,3.99
