idx,open_dt,close_dt,dir,level,wavg,close_p,total_lots,net_pips,reason,lot_pips,usd
50,2025.02.27 16:45:00,2025.03.03 16:30:00,LONG,4,0.89810,0.89941,1.09,13.1,tp_10.0_pips,14.305,96.91
51,2025.03.03 16:45:00,2025.03.04 00:15:00,SHORT,2,0.90189,0.90220,0.25,-3.1,tp_10.0_pips,-0.772,-5.23
52,2025.03.04 02:00:00,2025.03.04 14:15:00,LONG,3,0.89774,0.89918,0.61,14.4,tp_10.0_pips,8.800,59.61
53,2025.03.04 17:00:00,2025.03.04 18:45:00,LONG,1,0.89904,0.90049,0.01,14.5,tp_10.0_pips,0.145,0.98
54,2025.03.04 23:15:00,2025.03.05 08:15:00,LONG,2,0.90106,0.90237,0.25,13.1,tp_10.0_pips,3.267,22.13
55,2025.03.05 13:30:00,2025.03.05 14:15:00,LONG,1,0.90316,0.90453,0.01,13.7,tp_10.0_pips,0.137,0.93
56,2025.03.06 00:30:30,2025.03.06 10:30:00,LONG,1,0.90862,0.90985,0.01,12.3,tp_10.0_pips,0.123,0.83
57,2025.03.06 11:30:00,2025.03.06 14:00:00,LONG,1,0.90823,0.90967,0.01,14.4,tp_10.0_pips,0.144,0.98
58,2025.03.06 17:00:00,2025.03.07 17:15:00,LONG,5,0.90398,0.90504,1.69,10.6,tp_10.0_pips,17.886,121.17
59,2025.03.10 01:00:00,2025.03.10 04:00:00,LONG,1,0.90599,0.90703,0.01,10.4,tp_10.0_pips,0.104,0.70
60,2025.03.10 05:15:00,2025.03.10 07:45:00,LONG,1,0.90576,0.90680,0.01,10.4,tp_10.0_pips,0.104,0.70
61,2025.03.10 16:45:00,2025.03.11 16:00:00,LONG,4,0.90604,0.90709,1.09,10.5,tp_10.0_pips,11.457,77.61
62,2025.03.11 21:00:00,2025.03.12 09:30:00,LONG,1,0.90845,0.90998,0.01,15.3,tp_10.0_pips,0.153,1.04
63,2025.03.12 12:00:00,2025.03.12 17:45:00,LONG,2,0.90622,0.90740,0.25,11.8,tp_10.0_pips,2.956,20.02
64,2025.03.12 20:45:00,2025.03.12 21:30:00,LONG,1,0.90672,0.90777,0.01,10.5,tp_10.0_pips,0.105,0.71
65,2025.03.13 06:00:00,2025.03.13 17:00:00,LONG,4,0.90419,0.90538,1.09,11.9,tp_10.0_pips,13.007,88.11
66,2025.03.14 02:30:00,2025.03.14 03:45:00,LONG,1,0.90657,0.90781,0.01,12.4,tp_10.0_pips,0.124,0.84
67,2025.03.14 16:00:00,2025.03.17 03:30:00,LONG,1,0.90914,0.91027,0.01,11.3,tp_10.0_pips,0.113,0.77
68,2025.03.17 05:30:00,2025.03.17 10:45:00,LONG,1,0.90963,0.91074,0.01,11.1,tp_10.0_pips,0.111,0.75
69,2025.03.17 14:30:00,2025.03.17 19:00:00,LONG,1,0.91063,0.91168,0.01,10.5,tp_10.0_pips,0.105,0.71
70,2025.03.17 23:15:30,2025.03.19 20:45:00,LONG,4,0.90824,0.90946,1.09,12.2,tp_10.0_pips,13.296,90.07
71,2025.03.20 02:45:00,2025.03.25 12:15:00,LONG,6,0.90063,0.90163,2.41,10.0,tp_10.0_pips,24.102,163.27
72,2025.03.25 12:30:00,2025.03.25 21:00:00,SHORT,1,0.90161,0.90070,0.01,9.1,tp_10.0_pips,0.091,0.62
73,2025.03.26 02:15:00,2025.03.26 02:45:00,SHORT,1,0.90024,0.89933,0.01,9.1,tp_10.0_pips,0.091,0.62
74,2025.03.26 04:45:00,2025.03.26 15:45:00,SHORT,1,0.89973,0.89900,0.01,7.3,tp_10.0_pips,0.073,0.49
75,2025.03.26 23:45:00,2025.03.27 01:00:00,SHORT,1,0.89938,0.89859,0.01,7.9,tp_10.0_pips,0.079,0.54
76,2025.03.27 02:15:00,2025.03.28 05:15:00,SHORT,2,0.90086,0.90016,0.25,7.0,tp_10.0_pips,1.755,11.89
77,2025.03.28 08:30:00,2025.03.28 16:45:00,SHORT,2,0.90230,0.90123,0.25,10.7,tp_10.0_pips,2.685,18.19
78,2025.03.28 21:30:00,2025.03.31 00:15:00,SHORT,1,0.90014,0.90090,0.01,-7.6,tp_10.0_pips,-0.076,-0.51
79,2025.03.31 03:45:00,2025.03.31 11:15:00,SHORT,1,0.89909,0.89797,0.01,11.2,tp_10.0_pips,0.112,0.76
80,2025.03.31 19:15:00,2025.04.01 03:00:00,SHORT,2,0.89890,0.89809,0.25,8.1,tp_10.0_pips,2.027,13.73
81,2025.04.01 05:15:00,2025.04.01 17:00:00,SHORT,2,0.90076,0.90008,0.25,6.8,tp_10.0_pips,1.708,11.57
82,2025.04.01 17:15:00,2025.04.01 18:00:00,SHORT,1,0.90047,0.89914,0.01,13.3,tp_10.0_pips,0.133,0.90
83,2025.04.02 01:30:00,2025.04.02 23:30:00,SHORT,3,0.90176,0.90073,0.61,10.3,tp_10.0_pips,6.276,42.52
84,2025.04.03 08:30:00,2025.04.03 10:45:00,SHORT,1,0.89442,0.89378,0.01,6.4,tp_10.0_pips,0.064,0.43
85,2025.04.03 12:00:00,2025.04.03 13:45:00,SHORT,2,0.89760,0.89625,0.25,13.5,tp_10.0_pips,3.386,22.94
86,2025.04.03 16:15:00,2025.04.03 16:30:00,SHORT,1,0.89749,0.89662,0.01,8.7,tp_10.0_pips,0.087,0.59
87,2025.04.04 22:45:00,2025.04.04 23:00:00,SHORT,1,0.86072,0.85933,0.01,13.9,tp_10.0_pips,0.139,0.94
88,2025.04.04 23:45:00,2025.04.07 00:15:00,SHORT,1,0.86001,0.85602,0.01,39.9,tp_10.0_pips,0.399,2.70
89,2025.04.07 04:30:00,2025.04.07 04:45:00,SHORT,1,0.85534,0.85433,0.01,10.1,tp_10.0_pips,0.101,0.68
90,2025.04.07 05:00:00,2025.04.07 07:30:00,SHORT,2,0.85782,0.85626,0.25,15.6,tp_10.0_pips,3.901,26.43
91,2025.04.07 10:15:00,2025.04.07 10:45:00,SHORT,1,0.85659,0.85553,0.01,10.6,tp_10.0_pips,0.106,0.72
92,2025.04.07 11:30:00,2025.04.07 12:00:00,SHORT,1,0.85636,0.85538,0.01,9.8,tp_10.0_pips,0.098,0.66
93,2025.04.07 12:45:00,2025.04.07 16:45:00,SHORT,3,0.86305,0.86158,0.61,14.7,tp_10.0_pips,8.964,60.72
94,2025.04.07 23:15:00,2025.04.08 00:15:30,SHORT,1,0.85268,0.85307,0.01,-3.9,tp_10.0_pips,-0.039,-0.26
95,2025.04.08 00:45:00,2025.04.08 04:00:00,SHORT,2,0.85463,0.85224,0.25,23.9,tp_10.0_pips,5.981,40.52
96,2025.04.08 05:30:00,2025.04.08 06:00:00,SHORT,1,0.85427,0.85356,0.01,7.1,tp_10.0_pips,0.071,0.48
97,2025.04.08 06:15:00,2025.04.08 14:30:00,SHORT,3,0.85802,0.85724,0.61,7.8,tp_10.0_pips,4.754,32.21
98,2025.04.08 15:45:00,2025.04.08 16:45:00,SHORT,2,0.86067,0.85922,0.25,14.5,tp_10.0_pips,3.628,24.58
99,2025.04.08 17:00:00,2025.04.08 17:30:00,SHORT,1,0.85971,0.85809,0.01,16.2,tp_10.0_pips,0.162,1.10
100,2025.04.09 04:30:00,2025.04.09 07:15:00,SHORT,1,0.85008,0.84899,0.01,10.9,tp_10.0_pips,0.109,0.74
101,2025.04.09 09:30:00,2025.04.09 11:30:00,SHORT,2,0.85458,0.85376,0.25,8.2,tp_10.0_pips,2.038,13.81
102,2025.04.09 11:45:00,2025.04.09 14:15:00,SHORT,2,0.85557,0.85356,0.25,20.1,tp_10.0_pips,5.031,34.08
103,2025.04.09 16:15:00,2025.04.09 17:15:00,SHORT,1,0.85602,0.85467,0.01,13.5,tp_10.0_pips,0.135,0.91
104,2025.04.09 20:15:00,2025.04.10 03:45:00,SHORT,4,0.86467,0.86405,1.09,6.2,tp_10.0_pips,6.806,46.11
105,2025.04.10 05:30:00,2025.04.10 10:15:00,SHORT,3,0.87049,0.86960,0.61,8.9,tp_10.0_pips,5.457,36.97
106,2025.04.10 13:30:00,2025.04.10 14:15:00,SHORT,1,0.86926,0.86846,0.01,8.0,tp_10.0_pips,0.080,0.54
107,2025.04.10 14:30:00,2025.04.10 15:30:00,SHORT,2,0.87142,0.87026,0.25,11.6,tp_10.0_pips,2.912,19.73
108,2025.04.10 15:45:00,2025.04.10 17:00:00,SHORT,1,0.86937,0.86861,0.01,7.6,tp_10.0_pips,0.076,0.51
109,2025.04.10 18:00:00,2025.04.10 18:15:00,SHORT,1,0.87391,0.87274,0.01,11.7,tp_10.0_pips,0.117,0.79
110,2025.04.10 18:30:00,2025.04.10 18:45:00,SHORT,1,0.87120,0.87051,0.01,6.9,tp_10.0_pips,0.069,0.47
111,2025.04.10 21:30:00,2025.04.10 22:15:00,SHORT,1,0.87171,0.87085,0.01,8.6,tp_10.0_pips,0.086,0.58
112,2025.04.11 04:30:00,2025.04.11 06:00:00,SHORT,2,0.87115,0.87043,0.25,7.2,tp_10.0_pips,1.807,12.24
113,2025.04.11 06:15:00,2025.04.11 07:45:00,SHORT,1,0.86892,0.86694,0.01,19.8,tp_10.0_pips,0.198,1.34
114,2025.04.11 14:00:00,2025.04.11 15:15:00,SHORT,1,0.86665,0.86453,0.01,21.2,tp_10.0_pips,0.212,1.44
115,2025.04.11 16:00:00,2025.04.11 17:00:00,SHORT,1,0.86728,0.86510,0.01,21.8,tp_10.0_pips,0.218,1.48
116,2025.04.11 17:45:00,2025.04.11 18:00:00,SHORT,1,0.86798,0.86622,0.01,17.6,tp_10.0_pips,0.176,1.19
117,2025.04.11 19:15:00,2025.04.14 00:00:00,SHORT,3,0.87275,0.87440,0.61,-16.5,tp_10.0_pips,-10.091,-68.36
118,2025.04.14 00:15:30,2025.04.14 01:15:00,SHORT,1,0.87287,0.87199,0.01,8.8,tp_10.0_pips,0.088,0.60
119,2025.04.14 01:30:00,2025.04.14 03:30:00,SHORT,2,0.87428,0.87350,0.25,7.8,tp_10.0_pips,1.961,13.28
120,2025.04.14 03:45:00,2025.04.14 05:00:00,SHORT,1,0.87349,0.87258,0.01,9.1,tp_10.0_pips,0.091,0.62
121,2025.04.14 06:00:00,2025.04.14 06:15:00,SHORT,1,0.87271,0.87201,0.01,7.0,tp_10.0_pips,0.070,0.47
122,2025.04.14 07:30:00,2025.04.14 15:00:00,SHORT,3,0.87611,0.87541,0.61,7.0,tp_10.0_pips,4.288,29.05
123,2025.04.14 15:15:00,2025.04.14 16:00:00,SHORT,1,0.87531,0.87415,0.01,11.6,tp_10.0_pips,0.116,0.79
124,2025.04.14 17:15:00,2025.04.15 12:00:00,SHORT,4,0.88076,0.87999,1.09,7.7,tp_10.0_pips,8.389,56.83
125,2025.04.15 13:45:00,2025.04.16 00:15:00,SHORT,3,0.88581,0.88676,0.61,-9.5,tp_10.0_pips,-5.796,-39.26
126,2025.04.16 00:30:00,2025.04.16 05:15:00,LONG,2,0.88464,0.88608,0.25,14.4,tp_10.0_pips,3.604,24.41
127,2025.04.16 10:45:00,2025.04.16 11:45:00,LONG,1,0.88401,0.88650,0.01,24.9,tp_10.0_pips,0.249,1.69
128,2025.04.16 17:00:00,2025.04.16 19:00:00,LONG,1,0.88522,0.88640,0.01,11.8,tp_10.0_pips,0.118,0.80
129,2025.04.16 21:00:00,2025.04.17 13:15:00,LONG,2,0.88169,0.88287,0.25,11.8,tp_10.0_pips,2.944,19.94
