idx,open_dt,close_dt,dir,level,wavg,close_p,total_lots,net_pips,reason,lot_pips,usd
130,2025.04.17 13:30:00,2025.04.17 17:45:00,SHORT,2,0.88500,0.88412,0.25,8.8,tp_10.0_pips,2.203,14.92
131,2025.04.17 18:15:00,2025.04.17 20:45:00,SHORT,1,0.88411,0.88333,0.01,7.8,tp_10.0_pips,0.078,0.53
132,2025.04.17 21:30:00,2025.04.18 00:45:00,SHORT,1,0.88376,0.88452,0.01,-7.6,tp_10.0_pips,-0.076,-0.51
133,2025.04.18 01:00:00,2025.04.21 06:45:00,LONG,3,0.88343,0.88561,0.61,21.8,tp_10.0_pips,13.298,90.08
134,2025.04.21 07:00:00,2025.04.21 07:30:00,SHORT,1,0.88616,0.88516,0.01,10.0,tp_10.0_pips,0.100,0.68
135,2025.04.21 07:45:00,2025.04.21 12:30:00,SHORT,2,0.88744,0.88659,0.25,8.5,tp_10.0_pips,2.128,14.42
136,2025.04.21 12:45:00,2025.04.21 15:30:00,SHORT,1,0.88675,0.88582,0.01,9.3,tp_10.0_pips,0.093,0.63
137,2025.04.21 15:45:00,2025.04.22 08:15:00,SHORT,2,0.88846,0.88769,0.25,7.7,tp_10.0_pips,1.914,12.97
138,2025.04.22 08:45:00,2025.04.22 09:30:00,LONG,1,0.88706,0.88839,0.01,13.3,tp_10.0_pips,0.133,0.90
139,2025.04.22 10:00:00,2025.04.23 03:15:00,LONG,5,0.88174,0.88291,1.69,11.7,tp_10.0_pips,19.753,133.81
140,2025.04.23 03:30:00,2025.04.23 11:45:00,SHORT,2,0.88600,0.88482,0.25,11.8,tp_10.0_pips,2.945,19.95
141,2025.04.23 12:00:00,2025.04.23 18:15:00,SHORT,2,0.88773,0.88663,0.25,11.0,tp_10.0_pips,2.745,18.60
142,2025.04.24 09:45:00,2025.04.24 15:00:00,SHORT,2,0.88456,0.88386,0.25,7.0,tp_10.0_pips,1.760,11.92
143,2025.04.24 15:15:00,2025.04.25 00:45:00,SHORT,2,0.88751,0.88778,0.25,-2.7,tp_10.0_pips,-0.673,-4.56
144,2025.04.25 01:00:00,2025.04.25 06:30:00,LONG,1,0.88698,0.88883,0.01,18.5,tp_10.0_pips,0.185,1.25
145,2025.04.25 09:15:00,2025.04.25 19:30:00,LONG,2,0.88530,0.88677,0.25,14.7,tp_10.0_pips,3.682,24.94
146,2025.04.25 23:45:00,2025.04.28 08:00:00,LONG,1,0.88640,0.88758,0.01,11.8,tp_10.0_pips,0.118,0.80
147,2025.04.28 10:00:00,2025.04.28 12:00:00,LONG,2,0.88456,0.88565,0.25,10.9,tp_10.0_pips,2.726,18.47
148,2025.04.29 00:30:00,2025.04.29 05:15:00,LONG,1,0.88954,0.89087,0.01,13.3,tp_10.0_pips,0.133,0.90
149,2025.04.29 07:15:00,2025.04.29 15:45:00,LONG,2,0.88635,0.88751,0.25,11.6,tp_10.0_pips,2.900,19.65
150,2025.04.29 16:15:00,2025.04.30 04:45:00,LONG,2,0.88362,0.88495,0.25,13.3,tp_10.0_pips,3.333,22.58
151,2025.04.30 05:00:00,2025.04.30 11:00:00,SHORT,1,0.88526,0.88450,0.01,7.6,tp_10.0_pips,0.076,0.51
152,2025.04.30 18:00:00,2025.04.30 21:00:00,SHORT,1,0.88352,0.88261,0.01,9.1,tp_10.0_pips,0.091,0.62
153,2025.04.30 23:30:00,2025.05.01 06:15:00,SHORT,2,0.88511,0.88422,0.25,8.9,tp_10.0_pips,2.218,15.03
154,2025.05.01 13:45:00,2025.05.01 16:45:00,SHORT,1,0.88228,0.88149,0.01,7.9,tp_10.0_pips,0.079,0.54
155,2025.05.01 18:00:00,2025.05.01 19:00:00,SHORT,1,0.88321,0.88238,0.01,8.3,tp_10.0_pips,0.083,0.56
156,2025.05.01 20:15:00,2025.05.07 16:15:00,SHORT,6,0.89301,0.89220,2.41,8.1,tp_10.0_pips,19.635,133.01
157,2025.05.07 16:30:00,2025.05.08 04:00:00,LONG,2,0.88894,0.89028,0.25,13.4,tp_10.0_pips,3.358,22.75
158,2025.05.08 08:15:00,2025.05.08 13:30:00,LONG,2,0.88946,0.89127,0.25,18.1,tp_10.0_pips,4.530,30.69
159,2025.05.08 21:30:00,2025.05.09 06:00:00,LONG,2,0.88912,0.89043,0.25,13.1,tp_10.0_pips,3.279,22.21
160,2025.05.09 11:30:00,2025.05.09 16:15:00,LONG,1,0.89106,0.89246,0.01,14.0,tp_10.0_pips,0.140,0.95
161,2025.05.09 22:00:00,2025.05.12 01:15:00,LONG,2,0.89328,0.89519,0.25,19.1,tp_10.0_pips,4.766,32.29
162,2025.05.12 10:45:00,2025.05.12 12:30:00,LONG,1,0.89392,0.89531,0.01,13.9,tp_10.0_pips,0.139,0.94
163,2025.05.12 13:30:00,2025.05.13 06:30:00,LONG,2,0.89129,0.89241,0.25,11.2,tp_10.0_pips,2.809,19.03
164,2025.05.14 00:05:00,2025.05.14 05:00:00,LONG,1,0.90171,0.90347,0.01,17.6,tp_10.0_pips,0.176,1.19
